,nct_id,0,1,2,3,4,5,6,7,8,9,valid_sentiments,mode,lf
10,NCT03602560,"{'position': 1, 'link': 'https://liverdiseasenews.com/news/liver-damage-itch-from-primary-biliary-cholangitis-eased-with-seladelpar/', 'title': 'Seladelpar eases liver damage, itch in primary biliary cholangitis', 'source': 'liverdiseasenews.com', 'date': 'May 22, 2024', 'snippet': ""One year of treatment with Gilead Sciences' seladelpar normalized \nbiomarkers of liver injury and rapidly reduced itch for most people with \nprimary biliary..."", 'thumbnail': 'https://serpapi.com/searches/6721b2182c566df1ca1ef4ba/images/d4e54e170c7ed3ab1ed796f1c379d50f74abc102d033cc670d0e1256644799a9.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.7402761578559875}","{'position': 2, 'link': 'https://liverdiseasenews.com/news/seladelpar-lowers-levels-il-31-driving-pruritus-pbc-trial/', 'title': 'Seladelpar lowers levels of molecule driving itch with PBC: Phase 3 trial', 'source': 'Liver Disease News', 'date': 'Feb 7, 2024', 'snippet': 'An analysis of Phase 3 trial data found a 52% drop in blood levels of \nIL-31, known to promote itch, in PBC patients treated at high dose.', 'thumbnail': 'https://serpapi.com/searches/6721b2182c566df1ca1ef4ba/images/d4e54e170c7ed3ab74d41e9926347f0381a004d92538d777b9ef5996ff2fd6ab.png', 'sentiment': 'neutral', 'sentiment_prob': 0.7899602055549622}",,,,,,,,,"['neutral', 'neutral']",neutral,1
11,NCT02624947,"{'position': 1, 'link': 'https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1329426/full', 'title': 'Clinical research on RSV prevention in children and pregnant women: progress and perspectives', 'source': 'Frontiers', 'date': 'Feb 5, 2024', 'snippet': 'This review provides a comprehensive summary of RSV monoclonal antibody \n(mAb) and vaccine clinical trials registered on ClinicalTrials.gov', 'thumbnail': 'https://serpapi.com/searches/6721b227c024d17e3ab52f67/images/bc4e9b76ee2a7fa7a6ca84854bfd1987b388078abb4807fbc337f9263f0e1617.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.8756221532821655}","{'position': 2, 'link': 'https://www.nejm.org/doi/full/10.1056/NEJMoa1908380', 'title': 'Respiratory Syncytial Virus Vaccination during Pregnancy and Effects in Infants', 'source': 'The New England Journal of Medicine', 'date': 'Jul 29, 2020', 'snippet': 'We describe the results of a phase 3 trial evaluating the safety and \nimmunogenicity of RSV F vaccine in pregnant women and vaccine efficacy.', 'thumbnail': 'https://serpapi.com/searches/6721b227c024d17e3ab52f67/images/bc4e9b76ee2a7fa78480896b99bc46dc17ef2c4c7abec4f3742832ff3fad516b.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.9224299192428589}",,,,,,,,,"['neutral', 'neutral']",neutral,1
12,NCT03852433,"{'position': 1, 'link': 'https://www.nejm.org/doi/full/10.1056/NEJMoa2213429', 'title': 'A Phase 3, Randomized Trial of Bulevirtide in Chronic Hepatitis D', 'source': 'The New England Journal of Medicine', 'date': 'Jun 22, 2023', 'snippet': 'Coinfection with hepatitis D virus (HDV) accelerates the progression of \nliver disease associated with chronic hepatitis B. Bulevirtide inhibits the \nentry of...', 'thumbnail': 'https://serpapi.com/searches/6721b239ba1142b4b1190fcd/images/27389f6b00bc99bd4975146822d5887511a1325be02e4b01fc3b757c85400e3b.jpeg', 'sentiment': 'negative', 'sentiment_prob': 0.6427436470985413}",,,,,,,,,,['negative'],negative,0
13,NCT00049829,"{'position': 1, 'link': 'https://www.nejm.org/doi/full/10.1056/NEJMoa067312', 'title': 'Once-Yearly Zoledronic Acid for Treatment of Postmenopausal Osteoporosis', 'source': 'The New England Journal of Medicine', 'date': 'May 3, 2007', 'snippet': 'A single infusion of intravenous zoledronic acid decreases bone turnover \nand improves bone density at 12 months in postmenopausal women with \nosteoporosis.', 'thumbnail': 'https://serpapi.com/searches/6721b23f4677bf469c242595/images/ea481e20c7b44039c4bb0095c20cd08e873cac561c184cb7d7274be585a40684.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.7942545413970947}",,,,,,,,,,['neutral'],neutral,1
14,NCT02457845,"{'position': 1, 'link': 'https://www.nejm.org/doi/full/10.1056/NEJMoa2024947', 'title': 'Oncolytic HSV-1 G207 Immunovirotherapy for Pediatric High-Grade Gliomas', 'source': 'The New England Journal of Medicine', 'date': 'Apr 10, 2021', 'snippet': 'Pediatric brain tumors are highly sensitive to oncolytic virotherapy with \ngenetically engineered herpes simplex virus type 1 (HSV-1) G207.', 'thumbnail': 'https://serpapi.com/searches/6721b24624296a3c4a748beb/images/5c78eb14742d04292ab18b3e000555090dfe082ad1f451fbfb7f1d8a90130d35.png', 'sentiment': 'neutral', 'sentiment_prob': 0.7477931380271912}",,,,,,,,,,['neutral'],neutral,1
15,NCT03412565,"{'position': 1, 'link': 'https://www.nature.com/articles/s41408-023-00805-x', 'title': 'Daratumumab, carfilzomib, and dexamethasone in relapsed or refractory myeloma: final analysis of PLEIADES and EQUULEUS | Blood Cancer Journal', 'source': 'Nature', 'date': 'Mar 7, 2023', 'snippet': 'We report final data from PLEIADES and EQUULEUS, with a median follow-up of \n12.4 and 23.7 months, respectively.', 'thumbnail': 'https://serpapi.com/searches/6721b25e52a04e7b0718215d/images/3426ef1ab2ffc9e7553b57c0d6049518d683e7fc70fd0c8fe4ef6c36fd9d7369.png', 'sentiment': 'neutral', 'sentiment_prob': 0.9076092839241028}","{'position': 2, 'link': 'https://myelomaresearchnews.com/news/fda-approves-darzalex-faspro-injection-therapy-for-multiple-myeloma/', 'title': 'FDA Approves Darzalex Faspro as Injection Therapy for Multiple Myeloma', 'source': 'Myeloma Research News', 'date': 'May 5, 2020', 'snippet': ""The U.S. Food and Drug Administration (FDA) approved Janssen's new \nformulation of daratumumab — a subcutaneous or under-the-skin injection..."", 'thumbnail': 'https://serpapi.com/searches/6721b25e52a04e7b0718215d/images/3426ef1ab2ffc9e7fd5d0f68829859a29bbe443f3a2a84b0db55a7118290daf0.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.6539252400398254}",,,,,,,,,"['neutral', 'neutral']",neutral,1
16,NCT05567952,"{'position': 1, 'link': 'https://www.cdc.gov/mmwr/volumes/72/wr/mm7251a1.htm', 'title': 'SARS-CoV-2 Rebound With and Without Use of COVID-19 Oral Antivirals | MMWR', 'source': 'Centers for Disease Control and Prevention (.gov)', 'date': 'Dec 22, 2023', 'snippet': 'CDC reviewed COVID-19 rebound studies among patients who did and did not \nreceive antiviral treatment.', 'thumbnail': 'https://serpapi.com/searches/6721b2789062f826e6c06d4f/images/dde4226fc7f22fe472844a62eba792f208227c41ca5be7c95278aad19354ee12.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.8883197903633118}",,,,,,,,,,['neutral'],neutral,1
17,NCT04778410,"{'position': 1, 'link': 'https://www.onclive.com/view/gilead-discontinues-phase-3-enhance-2-trial-of-magrolimab-plus-azacitidine-in-tp53-mutant-aml', 'title': 'Gilead Discontinues Phase 3 ENHANCE-2 Trial of Magrolimab Plus Azacitidine in TP53-Mutant AML', 'source': 'OncLive', 'date': 'Sep 27, 2023', 'snippet': ""The phase 3 ENHANCE-2 trial examining the frontline combination of \nmagrolimab and azacitidine vs physician's choice of venetoclax with..."", 'thumbnail': 'https://serpapi.com/searches/6721b27b7ef9fa1a056ca893/images/d6e057c5464ce1e2ecb677c9346382bf2ededee9e3ad5c4e7840f8c90b064053.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.9308812022209167}",,,,,,,,,,['neutral'],neutral,1
18,NCT00782067,"{'position': 1, 'link': 'https://www.nejm.org/doi/full/10.1056/NEJMoa1513098', 'title': 'Efficacy and Safety of Midostaurin in Advanced Systemic Mastocytosis', 'source': 'The New England Journal of Medicine', 'date': 'Jun 30, 2016', 'snippet': 'In this open-label study, midostaurin showed efficacy in patients with \nadvanced systemic mastocytosis, including the highly fatal variant \nmast-cell leukemia.', 'thumbnail': 'https://serpapi.com/searches/6721b28589055e8ea6cb7bce/images/2644e564c08d8b22ec8288f66362de496b328a8816b4ae689e8af47adae6408f.png', 'sentiment': 'neutral', 'sentiment_prob': 0.7889068126678467}",,,,,,,,,,['neutral'],neutral,1
19,NCT00810693,"{'position': 1, 'link': 'https://www.nejm.org/doi/full/10.1056/NEJMoa1209655', 'title': 'Riociguat for the Treatment of Pulmonary Arterial Hypertension', 'source': 'The New England Journal of Medicine', 'date': 'Jul 25, 2013', 'snippet': 'Riociguat, a soluble guanylate cyclase stimulator, has been shown in a \nphase 2 trial to be beneficial in the treatment of pulmonary arterial \nhypertension.', 'thumbnail': 'https://serpapi.com/searches/6721b2aa2da1575f5eaf02f2/images/89db599ddcdad6081b8aa0a9c02b8e0f2a48a92f2f75c070c7de837660151316.png', 'sentiment': 'neutral', 'sentiment_prob': 0.6600370407104492}","{'position': 2, 'link': 'https://sclerodermanews.com/2016/07/29/Adempas-Equally-Beneficial-in-Scleroderma-and-Other-Connective-Tissue-Disease-PAH-patients/', 'title': 'PAH Scleroderma Patients, Others with PAH-CTD Benefit from Adempas', 'source': 'Scleroderma News', 'date': 'Aug 2, 2016', 'snippet': 'Scleroderma patients with pulmonary arterial hypertension (PAH) benefit \nequally well from treatment with Adempas (riociguat) as PAH patients...', 'thumbnail': 'https://serpapi.com/searches/6721b2aa2da1575f5eaf02f2/images/89db599ddcdad6081401e5480016d669b4e23d520b41343cdee2247d507fd59a.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.7391170859336853}",,,,,,,,,"['neutral', 'neutral']",neutral,1
20,NCT04927975,"{'position': 1, 'link': 'https://www.medicalnewstoday.com/articles/jak-inhibitors-for-vitiligo', 'title': 'What to know about JAK inhibitor treatments for vitiligo', 'source': 'MedicalNewsToday', 'date': 'Nov 17, 2022', 'snippet': 'Ruxolitinib cream is the first FDA-approved JAK inhibitor for skin \nrepigmentation in people with vitiligo, paving the way for additional oral \nand topical JAK...', 'thumbnail': 'https://serpapi.com/searches/6721b2b50c6668b7c76dbc5c/images/972b6e8ca06d5e785c1ae01eab6212e3ae4f60850a97633013ebbe48e332bf44.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.7310158014297485}","{'position': 2, 'link': 'https://www.thepharmaletter.com/biotechnology/phase-ii-rinvoq-trial-hits-main-goal-in-vitiligo', 'title': 'Phase II Rinvoq trial hits main goal in vitiligo', 'source': 'The Pharma Letter', 'date': 'Oct 12, 2023', 'snippet': 'At the European Academy of Dermatology and Venerology (EADV) congress in \nBerlin, AbbVie is presenting positive results from the Phase IIb...', 'thumbnail': 'https://serpapi.com/searches/6721b2b50c6668b7c76dbc5c/images/972b6e8ca06d5e78d5a103c0101db94a45873cf4128feb2f8a3672f6d3cdd375.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.5259546637535095}",,,,,,,,,"['neutral', 'neutral']",neutral,1
21,NCT04204408,"{'position': 1, 'link': 'https://hemophilianewstoday.com/news/mim8-better-standard-hemophilia-a-treatments-phase-3-trial/', 'title': 'Mim8 seen as better than standard hem A therapies at bleed control', 'source': 'Hemophilia News Today', 'date': 'May 22, 2024', 'snippet': 'Weekly and monthly treatment with Mim8, an investigational antibody \ntherapy, was seen to be better than on-demand or standard preventive \ntreatments at reducing...', 'thumbnail': 'https://serpapi.com/searches/6721b2b6cb33d011be8457f3/images/0fa4f1ba75b44171d1c504e159101cb1fdf6135335d0ef5afe82471835712811.png', 'sentiment': 'positive', 'sentiment_prob': 0.6799125075340271}",,,,,,,,,,['positive'],positive,1
22,NCT05252338,"{'position': 1, 'link': 'https://www.sciencedirect.com/science/article/pii/S2405844024030020', 'title': 'The clinical impact of mRNA therapeutics in the treatment of cancers, infections, genetic disorders, and autoimmune diseases', 'source': 'ScienceDirect.com', 'date': 'Mar 15, 2024', 'snippet': 'This review aims to elucidate the advancements in the clinical applications \nof mRNAs for addressing significant health-related challenges such as \ncancer,...', 'thumbnail': 'https://serpapi.com/searches/6721b2c0a5aae9207bffd5d9/images/c01c1600c97f3cf8907bfd5e1721f30bbc02ef932a2c9d1acc9d52a5f20b1672.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.8580176830291748}",,,,,,,,,,['neutral'],neutral,1
23,NCT00652132,"{'position': 1, 'link': 'https://www.nejm.org/doi/full/10.1056/NEJMoa1801109', 'title': 'Sodium Thiosulfate for Protection from Cisplatin-Induced Hearing Loss', 'source': 'The New England Journal of Medicine', 'date': 'Jun 20, 2018', 'snippet': 'Cisplatin chemotherapy and surgery are effective treatments for children \nwith standard-risk hepatoblastoma but may cause considerable and...', 'thumbnail': 'https://serpapi.com/searches/6721b2d818787d3f6f66c9ea/images/2e7d2d5fc3aaa2bcdb97ed23fc5d3df212f169c4db75dfc2576246ac83259823.png', 'sentiment': 'neutral', 'sentiment_prob': 0.6426202654838562}","{'position': 2, 'link': 'https://www.oncologynewscentral.com/article/fda-approves-sodium-thiosulfate-for-prevention-of-platinum-induced-hearing', 'title': 'FDA Approves Sodium Thiosulfate for Prevention of Platinum-Induced Hearing Loss in Kids', 'source': 'www.oncologynewscentral.com', 'date': 'Sep 21, 2022', 'snippet': 'The U.S. Food and Drug Administration approved an unique formulation of \nsodium thiosulfate (Pedmark) for the prevention of platinum-induced...', 'thumbnail': 'https://serpapi.com/searches/6721b2d818787d3f6f66c9ea/images/2e7d2d5fc3aaa2bc5ca3d66c5df15e315ce21744e7834c9f3cd5b2d9b9dea875.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.7437710762023926}",,,,,,,,,"['neutral', 'neutral']",neutral,1
24,NCT05163847,"{'position': 1, 'link': 'https://www.clinicaltrialsarena.com/news/flugens-intranasal-flu-vaccine-boosts-flu-shot-efficacy/', 'title': 'FluGen’s intranasal flu vaccine boosts flu shot efficacy', 'source': 'Clinical Trials Arena', 'date': 'Jul 15, 2024', 'snippet': ""A study shows that the co-administration of FluGen's intranasal M2SR and a \nhigh-dose flu shot improves the overall efficacy of flu vaccines in the \nelderly..."", 'thumbnail': 'https://serpapi.com/searches/6721b2e3310300643ce5fbcb/images/5efb290a69d19b8606614c57e1aefde549619dbd587cceceaa43695199e38951.jpeg', 'sentiment': 'positive', 'sentiment_prob': 0.6190996766090393}",,,,,,,,,,['positive'],positive,1
25,NCT01376167,"{'position': 1, 'link': 'https://malariajournal.biomedcentral.com/articles/10.1186/s12936-024-04924-z', 'title': 'Optimal balance of benefit versus risk for tafenoquine in the treatment of Plasmodium vivax malaria', 'source': 'Malaria Journal', 'date': 'May 13, 2024', 'snippet': 'A single dose of tafenoquine 300 mg in combination with a 3-day course of \nchloroquine is an important advancement for the radical cure of vivax \nmalaria.', 'thumbnail': 'https://serpapi.com/searches/6721b2ec316650b50a5cc9e0/images/09ece82483e50bb9e6e7c9e186d03569cf4482dbc1fd28e67230bf5b4a109586.jpeg', 'sentiment': 'positive', 'sentiment_prob': 0.5251345038414001}",,,,,,,,,,['positive'],positive,1
26,NCT00841191,"{'position': 1, 'link': 'https://www.nature.com/articles/s41467-020-19288-6', 'title': 'Immune modulatory effects of oncogenic KRAS in cancer', 'source': 'Nature', 'date': 'Oct 28, 2020', 'snippet': 'We discuss recent reports connecting KRAS mutations with tumour-promoting \ninflammation and immune modulation caused by KRAS that leads to immune \nescape in the...', 'thumbnail': 'https://serpapi.com/searches/6721b2f5fda26de16dd7459d/images/58673e5179b4e93764a95e4644d8dc1eba00b57b5cd9739d391ceae7a7394232.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.6028968095779419}",,,,,,,,,,['neutral'],neutral,1
27,NCT00315757,"{'position': 1, 'link': 'https://www.nature.com/articles/s41418-022-01059-z', 'title': 'Harnessing TRAIL-induced cell death for cancer therapy: a long walk with thrilling discoveries', 'source': 'Nature', 'date': 'Oct 4, 2022', 'snippet': 'Tumor necrosis factor (TNF)-related apoptosis inducing ligand (TRAIL) can \ninduce apoptosis in a wide variety of cancer cells, both in vitro...', 'thumbnail': 'https://serpapi.com/searches/6721b312caddc31ce57667ba/images/4e9b85b643bc3e8d48b341668a3e27a81fa15ed8cf5ded2b649f214e50ce2303.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.6938797235488892}",,,,,,,,,,['neutral'],neutral,1
